prompt,context
Feeling hopeful about landing a summer internship abroad.,Hopeful
Feeling unprepared for a class debate on a complex topic.,Anxious
Feeling guilty about neglecting my health due to studying.,Guilty
Feeling surprised by a high grade on an assignment I thought I failed.,Surprised
Feeling nostalgic about a specific professor who made a difference.,Nostalgic
Feeling frustrated about a classmate who doesn't contribute to a group project.,Frustrated
Feeling furious about a professor's harsh grading policy.,Furious
Feeling disappointed about a bad grade that affects my graduation timeline.,Disappointed
Feeling empathetic towards a classmate struggling with a personal loss.,Caring
Feeling trusting towards a career counselor who is helping with job search.,Trusting
Feeling disgusted by a messy common area in my dorm building.,Disgusted
Feeling nervous about meeting a professor for the first time during office hours.,Anxious
Feeling hopeful about getting a good recommendation letter from a professor.,Hopeful
Feeling frustrated about a computer crash right before saving an assignment.,Frustrated
Feeling anxious about giving a presentation in a foreign language class with limited fluency.,Anxious
Feeling overwhelmed by the sheer volume of course readings.,Stressed
Professor assigns a group project with incompatible team members.,Frustrated
Feeling proud after successfully defending my thesis/dissertation.,Proud
Feeling envious of classmates who seem to have a perfect social life.,Jealous
Feeling grateful for the opportunity to study abroad.,Grateful
Feeling anxious about making friends in a new city for an internship.,Anxious
Feeling content after a relaxing weekend break from studying.,Content
Feeling disappointed about a canceled campus event I was looking forward to.,Disappointed
Feeling overwhelmed by the pressure to choose a career path.,Stressed
Feeling relieved after a successful defense of a research proposal.,Relieved
Feeling unprepared for a class discussion on a controversial topic.,Anxious
Feeling proud after tutoring a classmate and helping them understand a concept.,Proud
Feeling burnt out from juggling multiple part-time jobs.,Stressed
Feeling anxious about the future after graduation.,Anxious
Feeling hopeful about landing a dream job after several interviews.,Hopeful
Feeling unprepared for a surprise quiz on a recently covered topic.,Anxious
Feeling guilty about spending too much time on social media and neglecting studies.,Guilty
Feeling surprised by a random act of kindness from a stranger on campus.,Surprised
Feeling nostalgic about a favorite professor's retirement.,Nostalgic
Feeling frustrated about a noisy dorm environment that disrupts studying.,Frustrated
Feeling furious about a classmate who plagiarizes in a group project.,Furious
Feeling apprehensive about asking for a recommendation letter.,Apprehensive
Feeling impressed by a classmate's creative project presentation.,Impressed
Feeling disappointed about missing out on a club event due to illness.,Disappointed
Feeling anticipated about attending a career fair.,Anticipating
Feeling disgusted by finding mold in my dorm room.,Disgusted
Feeling surprised by a professor remembering my name.,Surprised
Feeling nostalgic about a favorite hangout spot near campus.,Nostalgic
Feeling ashamed of a bad grade I received.,Ashamed
Feeling guilty about procrastinating on studying for an important exam.,Guilty
Feeling hopeful about reconnecting with an old friend from high school.,Hopeful
Feeling unprepared for a class presentation due to technical difficulties.,Unprepared
Feeling proud after overcoming a fear of public speaking.,Proud
Feeling overwhelmed by the amount of information to learn in a short time.,Stressed
Feeling anxious about the results of a scholarship application.,Anxious
Feeling hopeful about getting published in a research journal.,Hopeful
Feeling frustrated about a lack of sleep due to a noisy roommate.,Frustrated
Feeling disappointed about a canceled flight home for the holidays.,Disappointed
Feeling envious of a classmate's natural talent for a particular subject.,Jealous
Feeling grateful for the support of my family during a difficult time.,Grateful
